,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
73673fe9004b2f38acb87acff8d2ef2e,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae, g__Sediminibacterium, s__,0.999473869
a4d49faac1b9171982af6be1e7246728,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Tsukamurellaceae, g__Tsukamurella, s__,0.996567296
3e40eaca972f4c21703766f419df7d73,k__Bacteria, p__Acidobacteria, c__Acidobacteriia, o__Acidobacteriales, f__Acidobacteriaceae,,,0.990944373
fe3f84f629776d87641fc443d32ec6e6,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Schneideria, s__nysicola,0.999999916
e2796e7d3fa1fc813d1d2cd4ee2217a9,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Comamonas, s__,0.999925055
d903677acc44f604b873b2a42d98dbd0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Neisseriales, f__Neisseriaceae, g__, s__,0.999730279
8ce50f7588a0318e5eba2323df45715f,k__Bacteria, p__Cyanobacteria, c__Chloroplast,,,,,0.991126943
78a585eaec5cca29407834b21f96542a,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Sodalis, s__,0.982678586
a38dd215985334412cf89457ea0f49ae,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Hymenobacter, s__,0.999942797
b8639721b24467800dc16a65206dd54a,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae,,,0.998395672
f56bc5747a6cdc324009d31193f9e22d,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Methylocystaceae, g__, s__,0.998173407
46dd29bf78333363fad8f16df06d6681,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingomonas, s__,0.939444063
9f53a7a3a2b1a70ab07667b6ad7cd6e3,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,,,0.992255969
f2ac0b808d5cf7e261af078616a9d776,k__Bacteria, p__Cyanobacteria, c__4C0d-2, o__MLE1-12, f__, g__, s__,0.999976237
9c58eb833d508f8b81a474878c8dcb11,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__,0.876300833
4e7e3b402b08b021996f5dc7d511449d,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales,,,,0.980543242
81f6b7067003d93208a291802cb2c72a,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae, g__, s__,0.757805415
401b9a07270981f85f0d1f6ccf0c2ca7,k__Bacteria, p__OD1, c__, o__, f__, g__, s__,0.723403323
017f4e3e7a65ecd8b638b3b24a260359,k__Bacteria,,,,,,,0.990168237
ac0fe46dd1c2eb3bcb742cec74263a6e,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae, g__Renibacterium, s__,0.938255078
b109e3f40be2105e8b1e635be4b0a0bd,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Anoxybacillus, s__kestanbolensis,0.999958787
6b29d5aa901ee3c50c8d2b6a8031c318,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,,,0.911374759
c0a11f91aa7328e28021bf0edff4a586,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales,,,,0.964263351
e8a434d80a9cc82075b2e79096eab0fd,k__Bacteria, p__Planctomycetes, c__BD7-11, o__, f__, g__, s__,0.996342818
b14341f87f274aecf50de39190e1eeb0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingobium,,0.995394672
825883d93a4ba76f70e43ec65384843d,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae, g__Microbacterium, s__chocolatum,0.927860059
81f5819ed9b87f5a52fa0e7f1dfe61a0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae, g__Kocuria, s__rhizophila,0.994118477
49548da01022cc0e71df853a7d62f12d,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,,,0.98630069
89856614c5b51589ccc2d5cdc331769f,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Erythrobacteraceae, g__Porphyrobacter,,0.782461543
3417903ae8d036404f2eb2502a24ad67,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Stenotrophomonas,,0.995491966
5ab2a8947df6a536cb49fa327d6f80dd,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Comamonas, s__,0.999820204
e27cb1981e40dca77dcd2485476024a2,k__Bacteria, p__Acidobacteria, c__Solibacteres, o__Solibacterales, f__, g__, s__,0.859081656
e6503006bfdfbb794658f349fbb9861b,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Staphylococcaceae, g__Staphylococcus, s__,0.942575066
ad2ec6b24dd69b1dc569dcb7606c2157,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,,0.738969123
43326ff3395687bbaa78169a78b51e39,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Aurantimonadaceae, g__Aurantimonas, s__ureilytica,0.970488497
3e9df68e3f352799e158de2473c0be39,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Alcaligenaceae, g__Achromobacter, s__,0.956408239
b15866827fead9cfc6aa146ae4c83816,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas,,0.99343718
e9f9e299c70660cc84b0f533e92a1394,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria,,,,,0.979311663
9df95bc9f344ac88e9d80ffedafc3d0f,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,,0.999999488
963779f09d9b3cd1789a44ecbeb74d9f,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingomonas, s__echinoides,0.921044779
1025ababc0df3b03665c89711d9b6923,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Porphyromonas, s__,0.999999663
2f9ef3d5bb926dec170784b9d403dee2,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__mitochondria, g__, s__,0.979635311
772cccb2042804f44557e71625a3c424,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingobium, s__,0.984533187
8ef50f86e4023b7d46782840317bcefd,k__Bacteria,,,,,,,0.992447443
a7236d6fd8b56d42be0cca199fe8abf3,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,,,0.996298156
0edeb5e2679784439a66b55538e54505,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Tepidimonas, s__,0.999778777
4628f643d5ef9ad47ff8dc14045e0cb2,k__Bacteria, p__TM7, c__TM7-3, o__EW055, f__, g__, s__,0.87163852
643570ab93acea0ca9599e61cefecda3,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae], g__Chryseobacterium, s__,0.976959494
